id,name,neighbors
0,Rio de Janeiro,"Duque de Caxias:17, Nilópolis:13, São João de Meriti:22, Itaguaí:23, Seropédica:10, Mesquita:9"
1,Niterói,"Rio de Janeiro:8, São Gonçalo:5, Maricá:3"
2,São Gonçalo,"Niterói:5, Itaboraí:12, Maricá:30"
3,Duque de Caxias,"Rio de Janeiro:17, São João de Meriti:5, Belford Roxo:42, Magé:18, Petrópolis:25"
4,Nova Iguaçu,"Mesquita:12, Belford Roxo:25, Queimados:50, Japeri:25, Seropédica:37, Miguel Pereira:18, Duque de Caxias:6"
5,São João de Meriti,"Rio de Janeiro:7, Nilópolis:2, Belford Roxo:24, Duque de Caxias:11"
6,Nilópolis,"Rio de Janeiro:13, São João de Meriti:2, Mesquita:4"
7,Mesquita,"Rio de Janeiro:9, Nilópolis:4, Nova Iguaçu:12"
8,Belford Roxo,"São João de Meriti:24, Duque de Caxias:42, Nova Iguaçu:25"
9,Magé,"Duque de Caxias:18, Guapimirim:62, Itaboraí:75, Petrópolis:25"
10,Itaboraí,"São Gonçalo:12, Magé:69, Tanguá:33, Cachoeiras de Macacu:41"
11,Maricá,"Niterói:3, São Gonçalo:8, Itaboraí:64, Saquarema:32"
12,Queimados,"Nova Iguaçu:50, Japeri:27, Seropédica:38"
13,Itaguaí,"Rio de Janeiro:34, Seropédica:33, Mangaratiba:46, Paracambi:81"
14,Seropédica,"Rio de Janeiro:10, Nova Iguaçu:37, Queimados:38, Japeri:12, Itaguaí:33, Paracambi:46"
